Iteration, Drag, Lift, Coeff Drag, CoeffLift, time prec, time solve
1.385, 0.00335486, 0.0154808, 0.533942, 0.0154808, 0.0730684, 0.207876, 6
1.39, 0.00335642, 0.0152984, 0.534191, 0.0152984, 0.0555867, 0.136644, 4
1.395, 0.00336024, 0.0154162, 0.534799, 0.0154162, 0.0507871, 0.119352, 5
1.4, 0.00336252, 0.0154631, 0.535161, 0.0154631, 0.0497468, 0.107823, 6
1.405, 0.00336854, 0.0156206, 0.53612, 0.0156206, 0.0492051, 0.0958393, 3
1.41, 0.00337114, 0.015522, 0.536533, 0.015522, 0.0523704, 0.0881884, 3
1.415, 0.00337395, 0.0155003, 0.536982, 0.0155003, 0.0568129, 0.186298, 6
1.42, 0.00337902, 0.0155579, 0.537787, 0.0155579, 0.0560164, 0.122781, 4
1.425, 0.00338163, 0.0155469, 0.538204, 0.0155469, 0.0521369, 0.115879, 5
1.43, 0.00338578, 0.0155776, 0.538863, 0.0155776, 0.0496712, 0.100624, 6
1.435, 0.00339138, 0.0154872, 0.539756, 0.0154872, 0.061482, 0.19209, 7
1.44, 0.00339181, 0.0156049, 0.539824, 0.0156049, 0.0503501, 0.105541, 4
1.445, 0.00339627, 0.0156328, 0.540533, 0.0156328, 0.050314, 0.100367, 4
1.45, 0.00339955, 0.0156238, 0.541055, 0.0156238, 0.0933534, 0.129375, 5
